Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_pkr,city,experience_years
Full Stack Developer,"PKR. 50,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Quetta,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,14-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Web Application, Restful Architecture, Javascript, CSS, HTML, React, Django, Node.js, Google Cloud",75000.0,Islamabad,2.0
Social Media Manager,"PKR. 15,000 - 35,000/Month",Full Time/Permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,14-Jan-25,1 Year,Masters,Female,,"Social Media Strategises, Social Media Optimization, Social Media Handling",25000.0,Bahria Town Rawalpindi,1.0
Sales Executive,,Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,14-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Fluent in English, Telemarketing Skills, Communication Skills",,Johar Town,1.0
Customer Sales Representative,"PKR. 30,000 - 70,000/Month",Full Time/Permanent,"Shamsabad, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,14-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Customer Handling, Fluent in English, Communication Skills",50000.0,Shamsabad,1.0
Perfume Making Specialist,,Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Manufacturing,Entry Level,12-Jan-25,1 Year,Certification,No Preference,,"Love To Mkae Scents, Attention to Detail, Blending and Formulation Skills",,Johar Town,1.0
Virtual Assistant - Sales,"PKR. 25,000 - 40,000/Month",Full Time/Permanent,"Riwaz Garden, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,Fresh (To be mentioned on CV),Bachelors,No Preference,20 - 40 Years,"Microsoft Office, Product Hunting, Internet Browsing, Communication Skills",32500.0,Riwaz Garden,
Site Supervisor,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Rachna Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Entry Level,14-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Reporting Abilities, Supervision Skills, Site Administration",55000.0,Rachna Town,1.0
Customer Sales Agent / Closer,"PKR. 20,000 - 60,000/Month",Full Time/Permanent,"Shamsabad, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,14-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Telemarketing Skills, Communication Skills, Fluent in English",40000.0,Shamsabad,1.0
Laravel Developer,,Contract,"Sherwan Khurd, 
                                                                                                                                                                                                                                                                                                            Abbottabad,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,13-Jan-25,2 Years,Bachelors,No Preference,,"Visual Web Development, React JS, PHP",,Sherwan Khurd,2.0
Stock Manager,"PKR. 20,000 - 40,000/Month",Full Time/Permanent,"Khayaban-e-Sir Syed, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,1-Jan-25,,Bachelors,No Preference,19 - 35 Years,"Inventory Management, Stock Audit Planning, Stock Analyzes",30000.0,Khayaban-e-Sir Syed,
Sales Executive,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,,Matriculation/O-Level,Male,,"End to End Sales, Communication Skills, Sales Management",25000.0,Lahore,
Stock Keeper,"PKR. 20,000 - 50,000/Month",Full Time/Permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,14-Jan-25,,,No Preference,,"Stock Audit Planning, Stock Ledger Maintenance, Stock Analyzes, Stock Management",35000.0,Rawalpindi,
Manager Corporate Partnerships,"PKR. 175,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Corporate Affairs,Experienced Professional,13-Jan-25,"5 Years (At least 5 years experience in Managerial Capacity, Ability to Lead Team)",Masters,Male,,"Relationship Management, Multitasking Skills, Fundraising Skills",,Islamabad,5.0
HR Operations Officer / Executive,,Full Time/Permanent,"Raiwind, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,13-Jan-25,,Bachelors,No Preference,,"HR Information Management, Employee Relations  Management, Payroll Processing",,Raiwind,
Maintenance Engineer,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Entry Level,13-Jan-25,,Bachelors,Male,20 - 28 Years,"Equipment Maintenance, Negotiations Skills, End  to End Sales",52500.0,Multan,
Maintenance Engineer,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Sargodha,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Entry Level,13-Jan-25,,Bachelors,Male,20 - 28 Years,"Equipment Maintenance, Negotiations Skills, End  to End Sales",52500.0,Sargodha,
Customer Service Representative,"PKR. 70,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                                                                                                                        Abbottabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,14-Jan-25,,Intermediate/A-Level,No Preference,,"Relations Management Skills, Communication Skills, Fluent in English, Customer Satisfaction Management",75000.0,Islamabad,
Tax Associate,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,13-Jan-25,Less than 1 Year,Bachelors,Male,,"SECP Filings, Tax Preparation Skills, Corporate Tax Filings",,Islamabad,1.0
Customer Sales Representative / Closer,"PKR. 30,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Experienced Professional,13-Jan-25,,,No Preference,,"Communication Skills, Telemarketing  Skills, Fluent in English",55000.0,Islamabad,
Executive Secretary,"PKR. 50,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Experienced Professional,14-Jan-25,,Masters,No Preference,25 - 50 Years,"Communication Skills, Meeting Scheduling, MS Excel, MS Word",65000.0,Islamabad,
Web / App Developer,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,14-Jan-25,,Masters,No Preference,20 - 50 Years,"Javascript, Python, .Net, Full Stack Development",,Islamabad,
Medical Billing / Accounts Receivable Executive,"PKR. 80,000 - 90,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,14-Jan-25,3 Years,Bachelors,No Preference,,"Healthcare Billing, Compliance and Regulations, Accounts Receivable Management",85000.0,Lahore,3.0
Sales Officer,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Peoples Colony, 
                                                                                                                                                                                                                                                                                                            Gujranwala,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,14-Jan-25,3 Years (Professional experience in Paints industry),Bachelors,Male,,"Sales Management, Market Knowledge, Coordination Skills",50000.0,Peoples Colony,3.0
Chinese Translator / Interpreter,"PKR. 100,000 - 150,000/Month",Contract,"Tharparkar,
                                                                                                                                                                                                                                                                                            Pakistan",Writer,Experienced Professional,1-Jan-25,3 Years (prior to have similar role within the Mining or Natural Resources Sector or have done site based job.),Bachelors,Male,,"Proficient in Mandarin, Fluent in Chinese, Communication Skills, Reading Comprehension, HSK",125000.0,Tharparkar,3.0
Sales Consultant / Manager,"PKR. 10,000 - 20,000/Month",Full Time/Permanent,"Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Mardan,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Quetta,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                                                                                                                        Sargodha,
                                                                                                                                                                                                                                                                                                                                                                                        Sukkur,
                                                                                                                                                                                                                                                                                                                                                                                        Abbottabad,
                                                                                                                                                                                                                                                                                                                                                                                        Attock,
                                                                                                                                                                                                                                                                                                                                                                                        Badin,
                                                                                                                                                                                                                                                                                                                                                                                        Bahawalnagar,
                                                                                                                                                                                                                                                                                                                                                                                        Bahawalpur,
                                                                                                                                                                                                                                                                                                                                                                                        Dadu,
                                                                                                                                                                                                                                                                                                                                                                                        Gujrat,
                                                                                                                                                                                                                                                                                                                                                                                        Hafizabad,
                                                                                                                                                                                                                                                                                                                                                                                        Jacobabad,
                                                                                                                                                                                                                                                                                                                                                                                        Jhelum,
                                                                                                                                                                                                                                                                                                                                                                                        Kandhkot,
                                                                                                                                                                                                                                                                                                                                                                                        Khairpur,
                                                                                                                                                                                                                                                                                                                                                                                        Kotri,
                                                                                                                                                                                                                                                                                                                                                                                        Larkana,
                                                                                                                                                                                                                                                                                                                                                                                        Mandi Bahauddin,
                                                                                                                                                                                                                                                                                                                                                                                        Mansehra,
                                                                                                                                                                                                                                                                                                                                                                                        Mirpur Khas,
                                                                                                                                                                                                                                                                                                                                                                                        Muzaffarabad,
                                                                                                                                                                                                                                                                                                                                                                                        Nawabshah,
                                                                                                                                                                                                                                                                                                                                                                                        Okara,
                                                                                                                                                                                                                                                                                                                                                                                        Rahimyar Khan,
                                                                                                                                                                                                                                                                                                                                                                                        Sadiqabad,
                                                                                                                                                                                                                                                                                                                                                                                        Sahiwal,
                                                                                                                                                                                                                                                                                                                                                                                        Shikarpur,
                                                                                                                                                                                                                                                                                                                                                                                        Tando Adam,
                                                                                                                                                                                                                                                                                                                                                                                        Tando Allahyar,
                                                                                                                                                                                                                                                                                                                                                                                        Wah Cantt,
                                                                                                                                                                                                                                                                                                                                                                                        Dera Ismail Khan,
                                                                                                                                                                                                                                                                                                                                                                                        Umer Kot,
                                                                                                                                                                                                                                                                                                                                                                                        Hub,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Mar-25,Fresh,Intermediate/A-Level,No Preference,,"Persuasion Customer, Negotiation Skills, End-to-End Sale",15000.0,Faisalabad,
IT Officer,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,13-Jan-25,5 Years,Masters,Male,,"Configuring Software, Computer Hardware Installation, Troubleshooting  Skills",65000.0,Lahore,5.0
Software Engineer,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,2 Years,,No Preference,,"Data Structures, Web Development, HTML CSS, Javascript, Core PHP, Laravel, React, GitHub, API Integration, team leader",,Karachi,2.0
Credit Control Manager,,Full Time/Permanent,"Multan,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,3 Years,,No Preference,,"Financial Analysis, Risk Assessment, Attention to Detail, Accounts Receivable Management",,Multan,3.0
Lead Auditor Corporate Responsibility,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,8 Years,,No Preference,,"Compliance Management, Data Analysis, Regulatory Compliance Frameworks, environmental and corporate responsibility, Labour Law, Certified Lead Auditor",,Karachi,8.0
Machine Learning Engineer,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,3 Years,,No Preference,,"Programming Skills, Probability and Statistics, data modeling and evaluation, Neural Networks, Natural Language Processing, TensorFlow, PyTorch, Python",,Lahore,3.0
HR Intern,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,Fresh,,No Preference,,"Communication, Teamwork, Attention to Detail, Organizational Skills, Interpersonal Skills, Recruitment",,Lahore,
Data Entry Operator,"PKR. 45,000 - 45,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,1 Year,,No Preference,,"Software Proficiency, Knowledge of database management",45000.0,Lahore,1.0
Data Scientish,"PKR. 50,000 - 50,000/Month",Full Time/Permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,10 Years,,No Preference,,"Statistical Analysis, Machine Learning, Python Programming, SQL, Deep Learning",50000.0,Rawalpindi,10.0
Innovation Manager,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,1 Year,,No Preference,,"Creative Thinking, Strategic Planning, Project Management, Leadership, Problem Solving, Data Analysis, Communication, Design Thinking, Collaboration, Market Research, Agile Methodology, Lean Startup",,Islamabad,1.0
Growth and Outreach Specialist,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,14-Jan-25,3 Years,,No Preference,,"Content Creation, Communication, Lead Generation, Linkedin Outreach",,Karachi,3.0
Chief Security Supervisor,"PKR. 45,000 - 80,000/Month",Full Time/Permanent,"Wapda Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Experienced Professional,13-Jan-25,2 Years,Bachelors,Male,,"Communication Skills, Analytical Skills, Leadership And Risk Management",62500.0,Wapda Town,2.0
Customer Sales Agent,"PKR. 80,000 - 80,000/Month",Full Time/Permanent,"Raiwind Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,13-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Communication Skills, Fluent in English, Customer Dealing",80000.0,Raiwind Road,1.0
